,DATE,ATM,Cash
1,5/1/2010,ATM1,87.87691407
2,5/2/2010,ATM1,104.2967864
3,5/3/2010,ATM1,74.42370353
4,5/4/2010,ATM1,9.455871014
5,5/5/2010,ATM1,100.9489043
6,5/6/2010,ATM1,81.52474174
7,5/7/2010,ATM1,87.43042734
8,5/8/2010,ATM1,88.88481252
9,5/9/2010,ATM1,103.2813522
10,5/10/2010,ATM1,74.74166504
11,5/11/2010,ATM1,10.19918947
12,5/12/2010,ATM1,101.6062211
13,5/13/2010,ATM1,81.35312959
14,5/14/2010,ATM1,87.77037476
15,5/15/2010,ATM1,89.07235114
16,5/16/2010,ATM1,103.3702481
17,5/17/2010,ATM1,74.86830942
18,5/18/2010,ATM1,10.58711377
19,5/19/2010,ATM1,101.7162562
20,5/20/2010,ATM1,81.47493636
21,5/21/2010,ATM1,87.88801689
22,5/22/2010,ATM1,89.18927172
23,5/23/2010,ATM1,103.4794758
24,5/24/2010,ATM1,74.9949538
25,5/25/2010,ATM1,10.97503807
26,5/26/2010,ATM1,101.8262912
27,5/27/2010,ATM1,81.59674313
28,5/28/2010,ATM1,88.00565902
29,5/29/2010,ATM1,89.30619231
30,5/30/2010,ATM1,103.5887034
31,5/31/2010,ATM1,75.12159818
32,5/1/2010,ATM2,67.0628139
33,5/2/2010,ATM2,73.09844413
34,5/3/2010,ATM2,15.04431869
35,5/4/2010,ATM2,8.786649036
36,5/5/2010,ATM2,99.16304401
37,5/6/2010,ATM2,89.98686231
38,5/7/2010,ATM2,66.79126205
39,5/8/2010,ATM2,67.30622538
40,5/9/2010,ATM2,73.34308618
41,5/10/2010,ATM2,15.55210837
42,5/11/2010,ATM2,9.762924781
43,5/12/2010,ATM2,99.37600585
44,5/13/2010,ATM2,90.19795777
45,5/14/2010,ATM2,67.01740305
46,5/15/2010,ATM2,67.54562997
47,5/16/2010,ATM2,73.58070142
48,5/17/2010,ATM2,16.05581294
49,5/18/2010,ATM2,10.72910757
50,5/19/2010,ATM2,99.58284373
51,5/20/2010,ATM2,90.40597642
52,5/21/2010,ATM2,67.2447319
53,5/22/2010,ATM2,67.78220014
54,5/23/2010,ATM2,73.81335319
55,5/24/2010,ATM2,16.55662493
56,5/25/2010,ATM2,11.6880496
57,5/26/2010,ATM2,99.7853429
58,5/27/2010,ATM2,90.61182864
59,5/28/2010,ATM2,67.47290818
60,5/29/2010,ATM2,68.01676143
61,5/30/2010,ATM2,74.04249539
62,5/31/2010,ATM2,17.05538253
63,5/1/2010,ATM3,77.83432454
64,5/2/2010,ATM3,71.30011585
65,5/3/2010,ATM3,65.34165431
66,5/4/2010,ATM3,59.90816123
67,5/5/2010,ATM3,54.95336052
68,5/6/2010,ATM3,50.43507922
69,5/7/2010,ATM3,46.3148834
70,5/8/2010,ATM3,42.55774637
71,5/9/2010,ATM3,39.13174631
72,5/10/2010,ATM3,36.0077906
73,5/11/2010,ATM3,33.15936471
74,5/12/2010,ATM3,30.56230322
75,5/13/2010,ATM3,28.19458116
76,5/14/2010,ATM3,26.03612383
77,5/15/2010,ATM3,24.06863345
78,5/16/2010,ATM3,22.27543113
79,5/17/2010,ATM3,20.64131284
80,5/18/2010,ATM3,19.15241812
81,5/19/2010,ATM3,17.79611042
82,5/20/2010,ATM3,16.56086794
83,5/21/2010,ATM3,15.43618427
84,5/22/2010,ATM3,14.41247764
85,5/23/2010,ATM3,13.48100836
86,5/24/2010,ATM3,12.63380346
87,5/25/2010,ATM3,11.86358802
88,5/26/2010,ATM3,11.16372268
89,5/27/2010,ATM3,10.52814653
90,5/28/2010,ATM3,9.951325245
91,5/29/2010,ATM3,9.428203739
92,5/30/2010,ATM3,8.954163097
93,5/31/2010,ATM3,8.524981346
94,5/1/2010,ATM4,349.5327463
95,5/2/2010,ATM4,432.2904519
96,5/3/2010,ATM4,481.268644
97,5/4/2010,ATM4,298.2789586
98,5/5/2010,ATM4,451.6575836
99,5/6/2010,ATM4,363.9418517
100,5/7/2010,ATM4,417.4756941
101,5/8/2010,ATM4,353.9962393
102,5/9/2010,ATM4,458.9659743
103,5/10/2010,ATM4,449.2283833
104,5/11/2010,ATM4,347.5345855
105,5/12/2010,ATM4,435.9675451
106,5/13/2010,ATM4,367.9928587
107,5/14/2010,ATM4,448.273903
108,5/15/2010,ATM4,412.4692308
109,5/16/2010,ATM4,444.6097393
110,5/17/2010,ATM4,449.9280891
111,5/18/2010,ATM4,402.9169059
112,5/19/2010,ATM4,443.2583944
113,5/20/2010,ATM4,417.4201392
114,5/21/2010,ATM4,440.4855168
115,5/22/2010,ATM4,423.9019377
116,5/23/2010,ATM4,445.6127092
117,5/24/2010,ATM4,445.1709557
118,5/25/2010,ATM4,421.1059898
119,5/26/2010,ATM4,442.0166277
120,5/27/2010,ATM4,427.0114813
121,5/28/2010,ATM4,443.3084181
122,5/29/2010,ATM4,434.8129458
123,5/30/2010,ATM4,443.552848
124,5/31/2010,ATM4,444.2488276
